-49,65,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-49,79,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-51,66,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-61,64,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-50,79,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-53,67,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-52,79,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-52,67,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-51,79,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-54,66,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-53,66,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-55,66,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-54,79,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-55,79,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-56,79,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-53,79,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
-58,79,XmpDP18jsJ01Wg/GQhpYC02LWl8=,Qu9qfeJNiqZQHgWwtM9QGtkv9Vo=
